fpr,tpr,threshold
0.0019811947830688514,0.016406890894175553,0.8405506179821618
0.00198764818627103,0.016406890894175553,0.8405501476950702
0.00198764818627103,0.01650943396226415,0.8405295218516124
0.001994101589473209,0.01650943396226415,0.840513982192021
0.001994101589473209,0.016611977030352748,0.840500444503317
0.002007008395877566,0.016611977030352748,0.8404800875004694
0.002007008395877566,0.016714520098441345,0.8404379337875846
0.0020199152022819236,0.016714520098441345,0.8404203801566762
0.0020199152022819236,0.01691960623461854,0.8403915103052759
0.002110262847112425,0.01691960623461854,0.8401052272457289
0.0021167162503146035,0.017022149302707137,0.8400965653498187
0.0021167162503146035,0.017227235438884332,0.840055686395572
0.0021747968791342113,0.017227235438884332,0.839820421754968
0.00218125028233639,0.017432321575061527,0.8397252321046038
0.00218125028233639,0.017534864643150124,0.8396508958957524
0.0022070638951451047,0.017534864643150124,0.8395765307133378
0.002219970701549462,0.017534864643150124,0.8395235116722103
0.002226424104751641,0.017534864643150124,0.8395160398959463
0.002226424104751641,0.01773995077932732,0.8394916224734208
0.002245784314358177,0.01773995077932732,0.8393991452583508
0.002245784314358177,0.017842493847415916,0.8393782496544792
0.0022586911207625343,0.017842493847415916,0.8393741298120578
0.0022586911207625343,0.017945036915504513,0.8392787257006642
0.002265144523964713,0.017945036915504513,0.8392710314745785
0.002265144523964713,0.01804757998359311,0.8392669094086953
0.0022780513303690703,0.01804757998359311,0.8392162668806626
0.0022845047335712486,0.018150123051681705,0.8391896090553207
0.0022845047335712486,0.018252666119770302,0.8391825005339553
0.002297411539975606,0.018252666119770302,0.839152265469768
0.0023038649431777847,0.0183552091878589,0.8391338143181426
0.0023038649431777847,0.018457752255947497,0.8391194177195669
0.0023103183463799633,0.018457752255947497,0.8390999366135483
0.0023103183463799633,0.018560295324036094,0.8390806770056127
0.0023296785559864994,0.018560295324036094,0.8389662822862074
0.0023296785559864994,0.01866283839212469,0.838961732010768
0.002342585362390857,0.01866283839212469,0.8388500672141207
0.002342585362390857,0.01876538146021329,0.8388377155762627
0.0023942125880082863,0.01876538146021329,0.8383414176348541
0.0023942125880082863,0.018867924528301886,0.8383169824967519
0.002400665991210465,0.018867924528301886,0.8381920586325823
0.002400665991210465,0.01907301066447908,0.838045684459876
0.0024071193944126437,0.01907301066447908,0.8379732503519385
0.0024071193944126437,0.019175553732567678,0.8378782664972045
0.002413572797614822,0.019175553732567678,0.8378747787029157
0.002413572797614822,0.019278096800656275,0.8378174066746962
0.0024200262008170007,0.019278096800656275,0.8376782389428886
0.0024200262008170007,0.019380639868744873,0.8375311290008913
0.002432933007221358,0.019380639868744873,0.8374827889932551
0.002432933007221358,0.01948318293683347,0.8374104144352996
0.002458746620030073,0.01948318293683347,0.8371318934193199
0.0024652000232322515,0.019585726004922067,0.8370929640583944
